attribute,accuracy,precision,recall,f1,support,positive_rate,prediction_rate
Atr_5_o_Clock_Shadow,0.8382794264754918,0.4365482233502538,0.8935064935064935,0.5865302642796248,385,0.12837612628936768,0.26275425141713904
Atr_Arched_Eyebrows,0.7319106368789596,0.47004279600570614,0.9152777777777777,0.6211121583411876,720,0.24008002877235413,0.46748916305435145
Atr_Attractive,0.8096032010670223,0.8129251700680272,0.8014755197853789,0.8071597433299561,1491,0.497165709733963,0.490163387795932
Atr_Bags_Under_Eyes,0.7542514171390463,0.476027397260274,0.8164464023494861,0.601406165494862,681,0.2270756959915161,0.38946315438479495
Atr_Bald,0.9713237745915305,0.474025974025974,0.9358974358974359,0.6293103448275862,78,0.026008669286966324,0.05135045015005002
Atr_Bangs,0.928976325441814,0.677938808373591,0.9700460829493087,0.7981042654028436,434,0.14471490681171417,0.20706902300766922
Atr_Big_Lips,0.5918639546515505,0.3264812575574365,0.8307692307692308,0.46875,650,0.21673890948295593,0.5515171723907969
Atr_Big_Nose,0.7482494164721574,0.49555375909458366,0.8239247311827957,0.618879353861686,744,0.24808269739151,0.4124708236078693
Atr_Black_Hair,0.8442814271423807,0.6179981634527089,0.9295580110497238,0.7424158852730282,724,0.24141380190849304,0.3631210403467823
Atr_Blond_Hair,0.9373124374791597,0.7061946902654868,0.9477434679334917,0.8093306288032455,421,0.1403801292181015,0.18839613204401467
Atr_Blurry,0.9126375458486162,0.3388888888888889,0.8356164383561644,0.48221343873517786,146,0.04868289455771446,0.12004001333777926
Atr_Brown_Hair,0.8312770923641214,0.539080459770115,0.8170731707317073,0.649584487534626,574,0.19139713048934937,0.2900966988996332
Atr_Bushy_Eyebrows,0.8286095365121707,0.4604651162790698,0.8878923766816144,0.6064318529862175,446,0.14871624112129211,0.2867622540846949
Atr_Chubby,0.8182727575858619,0.23809523809523808,0.9065934065934066,0.37714285714285717,182,0.06068689748644829,0.23107702567522506
Atr_Double_Chin,0.8492830943647882,0.24356775300171526,0.9281045751633987,0.3858695652173913,153,0.05101700499653816,0.19439813271090364
Atr_Eyeglasses,0.9916638879626543,0.926530612244898,0.9700854700854701,0.9478079331941545,234,0.07802601158618927,0.08169389796598867
Atr_Goatee,0.9296432144048016,0.511002444987775,0.95,0.6645468998410174,220,0.07335778325796127,0.136378792930977
Atr_Gray_Hair,0.9379793264421474,0.450920245398773,0.9545454545454546,0.6125,154,0.05135045200586319,0.108702900966989
Atr_Heavy_Makeup,0.8996332110703568,0.7937033968516984,0.9485148514851485,0.8642309427153811,1010,0.3367789387702942,0.40246748916305436
Atr_High_Cheekbones,0.8519506502167389,0.8263428991905813,0.8437265214124718,0.8349442379182156,1331,0.44381460547447205,0.4531510503501167
Atr_Male,0.9779926642214072,0.9700068166325835,0.9847750865051903,0.9773351648351648,1445,0.4818272888660431,0.48916305435145047
Atr_Mouth_Slightly_Open,0.9056352117372457,0.946219797349961,0.8501400560224089,0.8956104758391737,1428,0.4761587083339691,0.4278092697565855
Atr_Mustache,0.9086362120706902,0.3686746987951807,0.9272727272727272,0.5275862068965518,165,0.055018339306116104,0.13837945981994
Atr_Narrow_Eyes,0.7932644214738246,0.3242894056847545,0.7212643678160919,0.4474153297682709,348,0.11603868007659912,0.25808602867622543
Atr_No_Beard,0.9476492164054685,0.9665032679738562,0.9692748873412536,0.9678870934751483,2441,0.8139379620552063,0.816272090696899
Atr_Oval_Face,0.677892630876959,0.4327840416305291,0.6152897657213316,0.5081466395112016,811,0.2704234719276428,0.3844614871623875
Atr_Pale_Skin,0.9076358786262088,0.29476584022038566,0.8359375,0.43584521384928715,128,0.04268089309334755,0.12104034678226075
Atr_Pointy_Nose,0.6892297432477492,0.431740614334471,0.655440414507772,0.5205761316872428,772,0.2574191391468048,0.3907969323107703
Atr_Receding_Hairline,0.8746248749583194,0.3812154696132597,0.8380566801619433,0.5240506329113924,247,0.08236078917980194,0.18106035345115037
Atr_Rosy_Cheeks,0.8369456485495165,0.24648985959438377,0.9634146341463414,0.39254658385093166,164,0.054684896022081375,0.21373791263754585
Atr_Sideburns,0.9203067689229744,0.4489311163895487,0.9642857142857143,0.6126418152350082,196,0.06535512208938599,0.14038012670890296
Atr_Smiling,0.9119706568856285,0.9158415841584159,0.8993055555555556,0.9074982480728802,1440,0.48016005754470825,0.47149049683227745
Atr_Straight_Hair,0.7539179726575526,0.45967042497831745,0.8217054263565892,0.5895439377085651,645,0.2150716930627823,0.3844614871623875
Atr_Wavy_Hair,0.8316105368456153,0.6956521739130435,0.7713004484304933,0.7315257841573631,892,0.29743248224258423,0.32977659219739913
Atr_Wearing_Earrings,0.8366122040680227,0.5156418554476807,0.9210019267822736,0.661134163208852,519,0.1730576902627945,0.3091030343447816
Atr_Wearing_Hat,0.9589863287762588,0.5759717314487632,0.9819277108433735,0.7260579064587973,166,0.05535178259015083,0.09436478826275425
Atr_Wearing_Lipstick,0.9263087695898633,0.8850746268656716,0.9465283320031923,0.9147705360586194,1253,0.417805939912796,0.4468156052017339
Atr_Wearing_Necklace,0.703567855951984,0.24754244861483468,0.8549382716049383,0.3839223839223839,324,0.10803601145744324,0.3731243747915972
Atr_Wearing_Necktie,0.9016338779593198,0.47549909255898365,0.9776119402985075,0.6398046398046398,268,0.08936312049627304,0.18372790930310104
Atr_Young,0.8706235411803934,0.8876916701201824,0.9482071713147411,0.9169520547945206,2259,0.7532510757446289,0.8046015338446149
