attribute,accuracy,precision,recall,f1,support,positive_rate,prediction_rate
Atr_5_o_Clock_Shadow,0.820273424474825,0.41309255079006774,0.9506493506493506,0.5759244689221086,385,0.12837612628936768,0.2954318106035345
Atr_Arched_Eyebrows,0.7922640880293431,0.5425812115891132,0.8583333333333333,0.664873587950511,720,0.24008002877235413,0.3797932644214738
Atr_Attractive,0.8192730910303434,0.8059316569954867,0.8383635144198525,0.821827744904668,1491,0.497165709733963,0.5171723907969323
Atr_Bags_Under_Eyes,0.7335778592864288,0.45412130637636083,0.8575624082232012,0.5937976614133198,681,0.2270756959915161,0.42880960320106704
Atr_Bald,0.9543181060353451,0.36018957345971564,0.9743589743589743,0.5259515570934256,78,0.026008669286966324,0.0703567855951984
Atr_Bangs,0.9226408802934312,0.6573208722741433,0.9723502304147466,0.7843866171003717,434,0.14471490681171417,0.21407135711903968
Atr_Big_Lips,0.6472157385795265,0.3559322033898305,0.7753846153846153,0.4878993223620523,650,0.21673890948295593,0.47215738579526506
Atr_Big_Nose,0.7675891963987996,0.5202411714039621,0.8118279569892473,0.6341207349081365,744,0.24808269739151,0.3871290430143381
Atr_Black_Hair,0.8646215405135045,0.6571146245059288,0.9185082872928176,0.7661290322580645,724,0.24141380190849304,0.33744581527175727
Atr_Blond_Hair,0.9399799933311104,0.7321772639691715,0.9026128266033254,0.8085106382978723,421,0.1403801292181015,0.17305768589529844
Atr_Blurry,0.8742914304768256,0.26666666666666666,0.9041095890410958,0.4118564742589704,146,0.04868289455771446,0.16505501833944647
Atr_Brown_Hair,0.8212737579193065,0.5196280991735537,0.8763066202090593,0.6523994811932555,574,0.19139713048934937,0.32277425808602866
Atr_Bushy_Eyebrows,0.8572857619206402,0.5119047619047619,0.8677130044843049,0.6439267886855241,446,0.14871624112129211,0.25208402800933644
Atr_Chubby,0.8622874291430477,0.2911392405063291,0.8846153846153846,0.4380952380952381,182,0.06068689748644829,0.1843947982660887
Atr_Double_Chin,0.8592864288096032,0.2513863216266174,0.8888888888888888,0.3919308357348703,153,0.05101700499653816,0.1803934644881627
Atr_Eyeglasses,0.9899966655551851,0.8923076923076924,0.9914529914529915,0.9392712550607287,234,0.07802601158618927,0.08669556518839613
Atr_Goatee,0.9126375458486162,0.45588235294117646,0.9863636363636363,0.6235632183908046,220,0.07335778325796127,0.1587195731910637
Atr_Gray_Hair,0.9269756585528509,0.40947075208913647,0.9545454545454546,0.5730994152046783,154,0.05135045200586319,0.11970656885628543
Atr_Heavy_Makeup,0.905301767255752,0.8071065989847716,0.9445544554455445,0.8704379562043796,1010,0.3367789387702942,0.39413137712570856
Atr_High_Cheekbones,0.8489496498832945,0.8424336973478939,0.8114199849737039,0.8266360505166476,1331,0.44381460547447205,0.4274758252750917
Atr_Male,0.9699899966655552,0.9562289562289562,0.9826989619377162,0.9692832764505119,1445,0.4818272888660431,0.49516505501833946
Atr_Mouth_Slightly_Open,0.9129709903301101,0.9293598233995585,0.884453781512605,0.9063509149623251,1428,0.4761587083339691,0.4531510503501167
Atr_Mustache,0.9029676558852952,0.3568181818181818,0.9515151515151515,0.5190082644628099,165,0.055018339306116104,0.14671557185728576
Atr_Narrow_Eyes,0.7709236412137379,0.31394072447859495,0.8218390804597702,0.45432883240667193,348,0.11603868007659912,0.3037679226408803
Atr_No_Beard,0.9479826608869624,0.9695848746403617,0.9664072101597706,0.9679934345506771,2441,0.8139379620552063,0.8112704234744915
Atr_Oval_Face,0.6885628542847616,0.4439380127620784,0.6004932182490752,0.510482180293501,811,0.2704234719276428,0.3657885961987329
Atr_Pale_Skin,0.8402800933644549,0.20404721753794267,0.9453125,0.3356449375866852,128,0.04268089309334755,0.19773257752584195
Atr_Pointy_Nose,0.6765588529509836,0.4236111111111111,0.711139896373057,0.5309477756286267,772,0.2574191391468048,0.4321440480160053
Atr_Receding_Hairline,0.8836278759586529,0.4026717557251908,0.854251012145749,0.5473411154345007,247,0.08236078917980194,0.1747249083027676
Atr_Rosy_Cheeks,0.8886295431810604,0.3191489361702128,0.9146341463414634,0.47318611987381703,164,0.054684896022081375,0.1567189063021007
Atr_Sideburns,0.9086362120706902,0.41594827586206895,0.9846938775510204,0.5848484848484848,196,0.06535512208938599,0.15471823941313773
Atr_Smiling,0.9046348782927642,0.9063380281690141,0.89375,0.9,1440,0.48016005754470825,0.4734911637212404
Atr_Straight_Hair,0.7669223074358119,0.474907063197026,0.7922480620155039,0.5938407902382336,645,0.2150716930627823,0.3587862620873625
Atr_Wavy_Hair,0.8149383127709237,0.6466492602262838,0.8329596412556054,0.7280744732974033,892,0.29743248224258423,0.38312770923641215
Atr_Wearing_Earrings,0.8646215405135045,0.5703611457036114,0.882466281310212,0.6928895612708018,519,0.1730576902627945,0.2677559186395465
Atr_Wearing_Hat,0.9853284428142715,0.801980198019802,0.9759036144578314,0.8804347826086957,166,0.05535178259015083,0.06735578526175391
Atr_Wearing_Lipstick,0.9259753251083694,0.8810051736881005,0.951316839584996,0.9148119723714505,1253,0.417805939912796,0.4511503834611537
Atr_Wearing_Necklace,0.6655551850616872,0.22818254603682947,0.8796296296296297,0.3623649078194533,324,0.10803601145744324,0.41647215738579524
Atr_Wearing_Necktie,0.9076358786262088,0.4915572232645403,0.9776119402985075,0.6541822721598003,268,0.08936312049627304,0.17772590863621207
Atr_Young,0.8762920973657886,0.8917012448132781,0.9513058875608676,0.9205397301349325,2259,0.7532510757446289,0.8036012004001334
