attribute,accuracy,precision,recall,f1,support,positive_rate,prediction_rate
Atr_5_o_Clock_Shadow,0.8752917639213071,0.5081723625557206,0.8883116883116883,0.6465028355387523,385,0.12837612628936768,0.22440813604534846
Atr_Bald,0.9639879959986662,0.41847826086956524,0.9871794871794872,0.5877862595419847,78,0.026008669286966324,0.06135378459486496
Atr_Bangs,0.9253084361453818,0.6666666666666666,0.967741935483871,0.7894736842105263,434,0.14471490681171417,0.21007002334111372
Atr_Black_Hair,0.887295765255085,0.7238979118329466,0.861878453038674,0.7868852459016393,724,0.24141380190849304,0.2874291430476826
Atr_Blond_Hair,0.9309769923307769,0.6801346801346801,0.9596199524940617,0.7960591133004926,421,0.1403801292181015,0.19806602200733578
Atr_Blurry,0.8669556518839613,0.25626204238921,0.910958904109589,0.4,146,0.04868289455771446,0.17305768589529844
Atr_Brown_Hair,0.7872624208069356,0.4706422018348624,0.8937282229965157,0.6165865384615384,574,0.19139713048934937,0.3634544848282761
Atr_Eyeglasses,0.9896632210736912,0.8888888888888888,0.9914529914529915,0.9373737373737374,234,0.07802601158618927,0.08702900966988997
Atr_Goatee,0.9183061020340113,0.4722838137472284,0.9681818181818181,0.6348733233979136,220,0.07335778325796127,0.1503834611537179
Atr_Gray_Hair,0.901300433477826,0.3400900900900901,0.9805194805194806,0.5050167224080268,154,0.05135045200586319,0.1480493497832611
Atr_Heavy_Makeup,0.8862954318106036,0.7567152724481965,0.9762376237623762,0.8525724167747514,1010,0.3367789387702942,0.43447815938646217
Atr_Mouth_Slightly_Open,0.9166388796265422,0.9078947368421053,0.9180672268907563,0.9129526462395543,1428,0.4761587083339691,0.4814938312770924
Atr_Mustache,0.9083027675891964,0.37209302325581395,0.9696969696969697,0.5378151260504201,165,0.055018339306116104,0.14338112704234746
Atr_No_Beard,0.9479826608869624,0.9638652050345108,0.9725522326915199,0.968189233278956,2441,0.8139379620552063,0.8212737579193065
Atr_Receding_Hairline,0.8652884294764922,0.37067545304777594,0.9109311740890689,0.5269320843091335,247,0.08236078917980194,0.20240080026675558
Atr_Sideburns,0.9256418806268756,0.4666666666666667,0.9642857142857143,0.6289517470881864,196,0.06535512208938599,0.13504501500500166
Atr_Smiling,0.9146382127375792,0.9021739130434783,0.9222222222222223,0.9120879120879121,1440,0.48016005754470825,0.49083027675891966
Atr_Straight_Hair,0.7992664221407135,0.5230439442658092,0.7565891472868217,0.6185044359949303,645,0.2150716930627823,0.3111037012337446
Atr_Wavy_Hair,0.7879293097699233,0.5950965824665676,0.897982062780269,0.7158176943699732,892,0.29743248224258423,0.4488162720906969
Atr_Wearing_Earrings,0.871623874624875,0.5817073170731707,0.9190751445086706,0.7124719940253921,519,0.1730576902627945,0.27342447482494164
Atr_Wearing_Hat,0.9879959986662221,0.8421052631578947,0.963855421686747,0.898876404494382,166,0.05535178259015083,0.06335445148382794
Atr_Wearing_Lipstick,0.9199733244414805,0.8559381588193956,0.9720670391061452,0.9103139013452914,1253,0.417805939912796,0.4744914971657219
Atr_Wearing_Necklace,0.6512170723574525,0.22734138972809667,0.9290123456790124,0.36529126213592233,324,0.10803601145744324,0.44148049349783264
Atr_Wearing_Necktie,0.93297765921974,0.5763097949886105,0.9440298507462687,0.7157001414427157,268,0.08936312049627304,0.14638212737579193
